"科目ID","科目","科目よみ","補助科目あり","大区分ID","整理番号","前期繰越","前々期繰越","貸借区分","使用区分","振替対象","予算","整列順","科目コード","大区分コード","整列コード","前年度予算","補正予算","仕訳伝票印刷対象","印刷","test","代替科目コード","代替科目番号"
43,"修繕費","しゅうぜんひ",0,22,8,\0,\0,"借+",0,,\1450000,111,"13209","132","09",\0,,1,0,,,
44,"通信運搬費","つうしんうんぱんひ",0,22,9,\0,\0,"借+",0,,\250000,112,"13210","132","10",\0,,1,0,,,
45,"会議費","かいぎひ",0,22,10,\0,\0,"借+",0,,\120000,113,"13211","132","11",\0,,1,0,,,
46,"広報費","こうほうひ",0,22,11,\0,\0,"借+",0,,\0,114,"13212","132","12",\35000,,1,0,,,
47,"業務委託費","ぎょうむいたくひ",0,22,12,\0,\0,"借+",0,,\670000,115,"13213","132","13",\52000,,1,0,,,
48,"手数料","てすうりょう",0,22,13,\0,\0,"借+",0,,\25000,116,"13214","132","14",\0,,1,0,,,
49,"損害保険料","そんがいほけんりょう",0,22,14,\0,\0,"借+",0,,\283000,117,"13215","132","15",\0,,1,0,,,
50,"賃借料(事務費）","ちんしゃくりょう（じむひ）",0,22,15,\0,\0,"借+",0,,\895000,118,"13216","132","16",\0,,1,0,,,
51,"租税公課","そぜいこうか",0,22,16,\0,\0,"借+",0,,\3000,119,"13217","132","17",\0,,1,0,,,
52,"雑費（事務費）","ざっぴ（じむひ）",0,22,17,\0,\0,"借+",0,,\650000,123,"13225","132","25",\0,,1,0,,,
53,"給食費","きゅうしょくひ",0,23,1,\0,\0,"借+",0,,\2660000,124,"13301","133","01",-\77000,,1,0,,,
54,"保健衛生費","ほけんえいせいひ",0,23,2,\0,\0,"借+",0,,\230000,125,"13302","133","02",\12000,,1,0,,,
55,"被服費","ひふくひ",0,23,3,\0,\0,"借+",1,,\0,126,"13303","133","03",\0,,1,0,,,
56,"教養娯楽費","きょうようごらくひ",0,23,4,\0,\0,"借+",1,,\0,127,"13304","133","04",\0,,1,0,,,
57,"日用品費","にちようひんひ",0,23,5,\0,\0,"借+",1,,\0,128,"13305","133","05",\0,,1,0,,,
58,"保育材料費","ほいくざいりょうひ",0,23,6,\0,\0,"借+",0,,\1950000,129,"13306","133","06",\100000,,1,0,,,
59,"本人支給額","ほんにんしきゅうがく",0,23,7,\0,\0,"借+",1,,\0,130,"13307","133","07",\0,,1,0,,,
60,"水道光熱費(事業費）","すいどうこうねつひ（じぎょうひ）",0,23,8,\0,\0,"借+",0,,\1180000,131,"13308","133","08",\0,,1,0,,,
61,"燃料費(事業費）","ねんりょうひ（じぎょうひ）",0,23,9,\0,\0,"借+",0,,\60000,132,"13309","133","09",-\20000,,1,0,,,
62,"消耗品費(事業費）","しょうもうひんひ（じぎょうひ）",0,23,10,\0,\0,"借+",0,,\150000,133,"13310","133","10",\4000,,1,0,,,
63,"器具什器費(事業費）","きぐじゅうきひ（じぎょうひ）",0,23,11,\0,\0,"借+",0,,\50000,134,"13311","133","11",-\5000,,1,0,,,
64,"賃借料(事業費）","ちんしゃくりょう（じぎょうひ）",0,23,12,\0,\0,"借+",0,,\90000,135,"13312","133","12",-\10000,,1,0,,,
65,"教育指導費","きょういくしどうひ",0,23,13,\0,\0,"借+",1,,\0,136,"13313","133","13",\0,,1,0,,,
66,"就職支度費","しゅうしょくしたくひ",0,23,14,\0,\0,"借+",1,,\0,137,"13314","133","14",\0,,1,0,,,
67,"医療費","いりょうひ",0,23,15,\0,\0,"借+",1,,\0,138,"13315","133","15",\0,,1,0,,,
68,"葬祭費","そうさいひ",0,23,16,\0,\0,"借+",1,,\0,139,"13316","133","16",\0,,1,0,,,
69,"雑費（事業費）","ざっぴ（じぎょうひ）",0,23,17,\0,\0,"借+",0,,\341000,140,"13325","133","25",\0,,1,0,,,
70,"借入金利息支出","かりいれきんりそくししゅつ",0,24,1,\0,\0,"借+",0,,\0,141,"13401","134","01",\0,,1,0,,,
71,"経理区分間繰入金支出","けいりくぶんかんくりいれきんししゅつ",0,25,1,\0,\0,"借+",0,,\0,142,"13501","135","01",\0,,1,0,,,
72,"建物取得支出","たてものしゅとくひ",0,26,1,\0,\0,"借+",0,"借方",\0,143,"14101","141","01",\0,,1,0,,,
73,"車両運搬具取得支出","しゃりょううんぱんぐしゅとくししゅつ",0,26,2,\0,\0,"借+",0,"借方",\0,144,"14102","141","02",\0,,1,0,,,
74,"公益事業会計元入金支出","こうえきじぎょうかいけいもといれきんししゅつ",0,27,1,\0,\0,"借+",1,"借方",\0,147,"14201","142","01",\0,,1,0,,,
75,"収益事業会計元入金支出","しゅうえきじぎょうかいけいもといれきんししゅつ",0,27,2,\0,\0,"借+",1,,\0,148,"14202","142","02",\0,,1,0,,,
76,"設備資金借入金償還金支出","せつびしきんかりいれきんしょうかんきんししゅつ",0,28,1,\0,\0,"借+",0,,\0,149,"15101","151","01",\0,,1,0,,,
77,"長期運営資金借入金償還金支出","ちょうきうんえいしきんかりいれきんしょうかんきんししゅつ",0,28,2,\0,\0,"借+",1,,\0,150,"15102","151","02",\0,,1,0,,,
78,"投資有価証券取得支出","とうしゆうかしょうけんしゅとくししゅつ",0,29,1,\0,\0,"借+",1,,\0,151,"15201","152","01",\0,,1,0,,,
79,"人件費積立預金積立支出","じんけんひつみたてよきんつみたてししゅつ",0,30,1,\0,\0,"借+",0,,\0,152,"15301","153","01",\0,,1,0,,,
80,"長期貸付金支出","ちょうきかしつけきんししゅつ",0,31,1,\0,\0,"借+",1,,\0,156,"15401","154","01",\0,,1,0,,,
81,"徴収不能額","ちょうしゅうふのうがく（しきんげんしょう）",0,32,1,\0,\0,"借+",1,,\0,159,"15501","155","01",\0,,1,0,,,
82,"有価証券売却益","ゆうかしょうけんばいきゃくえき",0,32,2,\0,\0,"借+",1,,\0,160,"15502","155","02",\0,,1,0,,,
83,"有価証券売却損","ゆうかしょうけんばいきゃくそん",0,32,3,\0,\0,"借+",1,,\0,161,"15503","155","03",\0,,1,0,,,
84,"有価証券評価損","ゆうかしょうけんひょうかそん（しきんげんしょう）",0,32,4,\0,\0,"借+",1,,\0,162,"15504","155","04",\0,,1,0,,,
86,"徴収不能引当金戻入収入","ちょうしゅうふのうひきあてきんもどしいれ",0,34,1,\0,\0,"借+",1,,\0,163,"21101","211","01",\0,,1,0,,,
87,"退職給与引当金戻入収入","たいしょくきゅうよひきあてきんもどしいれしゅうにゅう",0,34,2,\0,\0,"借+",0,,\0,164,"21102","211","02",\0,,1,0,,,
88,"その他引当金戻入収入","そのたひきあてきんもどしいれしゅうにゅう",0,34,3,\0,\0,"借+",1,,\0,165,"21103","211","03",\0,,1,0,,,
89,"国庫補助金等特別積立金取崩額（事業）","こっこほじょきんとうとくべつつみたてきんとりくずしがく",0,35,1,\0,\0,"借+",0,,\0,166,"21201","212","01",\0,,1,0,,,
90,"有価証券売却収入","ゆうかしょうけんばいきゃくしゅうにゅう",0,36,1,\0,\0,"借+",1,,\0,167,"22101","221","01",\0,,1,0,,,
91,"その他売却収入","そのたばいきゃくしゅうにゅう",0,36,2,\0,\0,"借+",1,,\0,168,"22102","221","02",\0,,1,0,,,
92,"国庫補助金等特別積立金取崩額（特別）","こっこほじょきんとうとくべつつみたてきんとりくずしがく",0,37,1,\0,\0,"借+",0,,\0,170,"23101","231","01",\0,,1,0,,,
93,"減価償却費","げんかしょうきゃくひ",0,38,1,\0,\0,"借+",0,,\0,171,"24101","241","01",\0,,1,0,,,
94,"徴収不能額","ちょうしゅうふのうがく",0,39,1,\0,\0,"借+",1,,\0,172,"24201","242","01",\0,,1,0,,,
95,"退職給与引当金繰入","たいしょくきゅうよひきあてきんくりいれ",0,40,1,\0,\0,"借+",0,,\0,173,"24301","243","01",\0,,1,0,,,
96,"徴収不能引当金繰入","ちょうしゅうふのうひきあてきんくりいれ",0,40,2,\0,\0,"借+",1,,\0,174,"24302","243","02",\0,,1,0,,,
97,"その他の引当金繰入","そのたひきあてきんくりいれ",0,40,3,\0,\0,"借+",1,,\0,175,"24303","243","03",\0,,1,0,,,
98,"投資有価証券売却損","とうしゆうかしょうけんばいきゃくそん",0,41,1,\0,\0,"借+",1,,\0,176,"25101","251","01",\0,,1,0,,,
99,"有価証券売却損","ゆううかしょうけんばいきゃくそん",0,42,1,\0,\0,"借+",1,,\0,177,"25201","252","01",\0,,1,0,,,
100,"有価証券評価損","ゆうかしょうけんひょうかそん（しさんひょうかそん）",0,43,1,\0,\0,"借+",1,,\0,178,"25301","253","01",\0,,1,0,,,
101,"その他評価損","そのたひょうかそん",0,43,1,\0,\0,"借+",1,,\0,179,"25302","253","02",\0,,1,0,,,
102,"１号基本金組入額","いちごうきほんきんくみいれがく",0,44,1,\0,\0,"借+",0,,\0,181,"26101","261","01",\0,,1,0,,,
103,"２号基本金組入額","にごうきほんきんくみいれがく",0,44,2,\0,\0,"借+",0,,\0,182,"26102","261","02",\0,,1,0,,,
104,"３号基本金組入額","さんごうきほんきんくみいれがく",0,44,3,\0,\0,"借+",0,,\0,183,"26103","261","03",\0,,1,0,,,
105,"国庫補助金等特別積立金積立額","こっこほじょきんとうとくべつつみたてきんつみたてがく",0,45,1,\0,\0,"借+",0,,\0,184,"26201","262","01",\0,,1,0,,,
106,"器具及び備品売却損・処分損","きぐおよびびひんばいきゃくそん・しょぶんそん",0,46,1,\0,\0,"借+",0,,\0,185,"26301","263","01",\0,,1,0,,,
107,"車両運搬具売却損・処分損","しゃりょううんぱんぐばいきゃくそん・しょぶんそん",0,46,2,\0,\0,"借+",0,,\0,186,"26302","263","02",\0,,1,0,,,
108,"その他売却損・処分損","そのたばいきゃくそん・しょぶんそん",0,46,3,\0,\0,"借+",0,,\0,187,"26303","263","03",\0,,1,0,,,
109,"基本金取崩額","きほんきんとりくずしがく",0,47,1,\0,\0,"借+",0,,\0,188,"27101","271","01",\0,,1,0,,,
110,"４号基本金組入額","よんごうきほんきんくみいれがく",0,48,1,\0,\0,"借+",0,,\0,189,"27201","272","01",\0,,1,0,,,
111,"人件費積立金取崩額","じんけんひつみたてきんとりくずしがく",0,49,1,\0,\0,"借+",0,,\0,190,"27301","273","01",\0,,1,0,,,
112,"その他積立金積立額","そのたつみたてきんつみたてがく",0,50,1,\0,\0,"借+",1,,\0,194,"27401","274","01",\0,,1,0,,,
113,"小口現金","こぐちげんきん",0,51,1,\11792,\0,"借+",0,,\0,39,"10101","101","01",\0,,1,0,,,
114,"普通預金","ふつうよきん",0,51,2,\11062183,\0,"借+",0,,\0,40,"10102","101","02",\0,,1,0,,,
115,"有価証券","ゆうかしょうけん",0,51,3,\0,\0,"借+",1,,\0,41,"10103","101","03",\0,,1,0,,,
116,"未収金","みしゅうきん",0,51,4,\5508640,\0,"借+",0,,\0,42,"10104","101","04",\0,,1,0,,,
117,"貯蔵品","ちょぞうひん",0,51,5,\0,\0,"借+",0,,\0,43,"10105","101","05",\0,,1,0,,,
118,"立替金","たてかえきん",0,51,6,\0,\0,"借+",1,,\0,44,"10106","101","06",\0,,1,0,,,
119,"前払金","まえばらいきん",0,51,7,\0,\0,"借+",0,,\0,45,"10107","101","07",\0,,1,0,,,
120,"短期貸付金","たんきかしつけきん",0,51,8,\0,\0,"借+",0,,\0,46,"10108","101","08",\0,,1,0,,,
121,"仮払金","かりばらいきん",0,51,9,\0,\0,"借+",0,,\0,47,"10109","101","09",\0,,1,0,,,
122,"その他の流動資産","そのたのりゅうどうしさん",0,51,10,\0,\0,"借+",0,,\0,48,"10110","101","10",\0,,1,0,,,
123,"建物（基本財産）","たてもの（きほんざいさん）",0,52,1,\8667126,\0,"借+",0,,\0,52,"10201","102","01",\0,,1,0,,,
124,"土地（基本財産）","とち（きほんざいさん）",0,52,2,\0,\0,"借+",0,,\0,53,"10202","102","02",\0,,1,0,,,
125,"基本財産特定預金","きほんざいさんとくていよきん",0,52,3,\0,\0,"借+",0,,\0,54,"10203","102","03",\0,,1,0,,,
126,"建物（その他の固定資産）","たてもの（そのたのこていしさん）",0,53,1,\0,\0,"借+",0,,\0,55,"10301","103","01",\0,,1,0,,,
127,"構築物","こうちくぶつ",0,53,2,\0,\0,"借+",0,,\0,56,"10302","103","02",\0,,1,0,,,
128,"機械及び装置","きかいおよびそうち",0,53,3,\0,\0,"借+",0,,\0,57,"10303","103","03",\0,,1,0,,,
129,"車両運搬具","しゃりょううんぱんぐ",0,53,4,\0,\0,"借+",0,,\0,58,"10304","103","04",\0,,1,0,,,
130,"器具及び備品","きぐおよびびひん",0,53,5,\2988988,\0,"借+",0,,\0,59,"10305","103","05",\0,,1,0,,,
131,"土地（その他の固定資産）","とち（そのたのこていしさん）",0,53,6,\0,\0,"借+",0,,\0,60,"10306","103","06",\0,,1,0,,,
132,"建設仮勘定","けんせつかりかんじょう",0,53,7,\0,\0,"借+",0,,\0,61,"10307","103","07",\0,,1,0,,,
133,"権利","けんり",0,53,8,\0,\0,"借+",0,,\0,62,"10308","103","08",\0,,1,0,,,
134,"投資有価証券","とうしゆうかしょうけん",0,53,9,\0,\0,"借+",1,,\0,63,"10309","103","09",\0,,1,0,,,
135,"長期貸付金","ちょうきかしつけきん",0,53,10,\0,\0,"借+",1,,\0,64,"10310","103","10",\0,,1,0,,,
136,"公益事業会計元入金","こうえきじぎょうかいけいもといれきん",0,53,11,\0,\0,"借+",1,,\0,65,"10311","103","11",\0,,1,0,,,
137,"収益事業会計元入金","しゅうえきじぎょうかいけいもといれきん",0,53,12,\0,\0,"借+",1,,\0,66,"10312","103","12",\0,,1,0,,,
139,"その他積立預金","そのたつみたてよきん",0,53,14,\0,\0,"借+",1,,\0,67,"10314","103","14",\0,,1,0,,,
140,"その他の固定資産","そのたのこていしさん",0,53,15,\0,\0,"借+",1,,\0,68,"10315","103","15",\0,,1,0,,,
141,"短期運営資金借入金","たんきうんえいしきんかりいれきん",0,54,1,\0,\0,"貸+",0,,\0,75,"11101","111","01",\0,,1,0,,,
142,"未払金","みばらいきん",0,54,2,\13466359,\0,"貸+",0,,\0,76,"11102","111","02",\0,,1,0,,,
143,"預り金","あずかりきん",0,54,3,\486287,\0,"貸+",0,,\0,77,"11103","111","03",\0,,1,0,,,
144,"前受金","まえうけきん",0,54,4,\0,\0,"貸+",0,,\0,78,"11104","111","04",\0,,1,0,,,
145,"仮受金","かりうけきん",0,54,5,\0,\0,"貸+",0,,\0,79,"11105","111","05",\0,,1,0,,,
146,"その他引当金","そのたひきあてきん",0,54,6,\0,\0,"貸+",1,,\0,80,"11106","111","06",\0,,1,0,,,
147,"その他の流動負債","そのたのりゅうどうふさい",0,54,7,\0,\0,"貸+",0,,\0,81,"11107","111","07",\0,,1,0,,,
148,"長期設備資金借入金","ちょうきせつびしきんかりいれきん",0,55,1,\0,\0,"貸+",0,,\0,82,"11201","112","01",\0,,1,0,,,
149,"長期運営資金借入金","ちょうきうんえいしきんかりいれきん",0,55,2,\0,\0,"貸+",0,,\0,83,"11202","112","02",\0,,1,0,,,
150,"退職給与引当金","たいしょくきゅうよひきあてきん",0,55,3,\2726360,\0,"貸+",0,,\0,84,"11203","112","03",\0,,1,0,,,
151,"その他の引当金","そのたのひきあてきん",0,55,4,\0,\0,"貸+",1,,\0,85,"11204","112","04",\0,,1,0,,,
152,"基本金","きほんきん",0,56,1,\28057275,\0,"貸+",0,,\0,88,"11301","113","01",\0,,1,0,,,
153,"国庫補助金等特別積立金","こっこほじょきんとうとくべつつみたてきん",0,57,1,\1442280,\0,"貸+",0,,\0,89,"11401","114","01",\0,,1,0,,,
154,"その他の積立金","そのたのつみたてきん",0,58,1,\0,\0,"貸+",1,,\0,90,"11501","115","01",\0,,1,0,,,
155,"次期繰越活動収支差額","じきくりこしかつどうしゅうしさがく",0,59,1,-\15570056,\0,"貸+",0,,\0,95,"11601","116","01",\0,,1,0,,,
156,"人件費積立金積立額","じんけんひつみたてきんつみたてがく",0,50,1,\0,\0,"借+",0,,\0,195,"27402","274","02",\0,,1,0,,,
157,"人件費積立金","じんけんひつみたてきん",0,58,1,\8000000,\0,"貸+",0,,\0,91,"11502","115","02",\0,,1,0,,,
159,"人件費積立預金","じんけんひつみたてよきん",0,53,1,\8000000,\0,"借+",0,,\0,69,"10316","103","16",\0,,1,0,,,
161,"予備費","よびひ",0,60,1,\0,\0,"借+",0,,\0,199,"80101","801","01",\0,,1,0,,,
162,"定期預金","ていきよきん",0,51,1,\0,\0,"借+",0,,\0,49,"10111","101","11",\0,,1,0,,,
163,"当座預金","とうざよきん",0,51,1,\22336,\0,"借+",0,,\0,50,"10112","101","12",\0,,1,0,,,
165,"渉外費","しょうがいひ",0,22,1,\0,\0,"借+",0,,\0,120,"13218","132","18",\0,,1,0,,,
166,"諸会費","しょかいひ",0,22,1,\0,\0,"借+",0,,\170000,121,"13219","132","19",\0,,1,0,,,
167,"居宅介護料収入","きょたくかいごりょうしゅうにゅう",0,1,1,\0,\0,"借+",1,,\0,2,"01002","010","02",\0,,1,0,,,
168,"居宅介護支援介護料収入","きょたくかいごしえんかいごりょうしゅうにゅう",0,1,1,\0,\0,"借+",1,,\0,4,"01004","010","04",\0,,1,0,,,
169,"利用者等利用料収入","りようしゃとうりようりょうしゅうにゅう",0,1,1,\0,\0,"借+",1,,\0,3,"01003","010","03",\0,,1,0,,,
170,"その他の事業収入","そのたのじぎょうしゅうにゅう",0,1,1,\0,\0,"借+",1,,\0,5,"01005","010","05",\0,,1,0,,,
171,"諸口","しょぐち",0,51,1,\0,\0,"借+",0,,\0,51,"10113","101","13",\0,,1,0,,,
172,"設備資金借入金","せつびしきんかりいれきん",0,55,1,\0,\0,"貸+",0,,\0,86,"11205","112","05",\0,,1,0,,,
173,"長期預り金","ちょうきあずかりきん",0,55,1,\0,\0,"貸+",1,,\0,87,"11206","112","06",\0,,1,0,,,
174,"修繕積立預金","しゅうぜんつみたてよきん",0,53,1,\12285551,\0,"借+",0,,\0,70,"10317","103","17",\0,,1,0,,,
175,"備品購入積立預金","びひんこうにゅうつみたてよきん",0,53,1,\5000000,\0,"借+",0,,\0,71,"10318","103","18",\0,,1,0,,,
176,"修繕積立金","しゅうぜんつみたてきん",0,58,1,\12285551,\0,"貸+",0,,\0,92,"11503","115","03",\0,,1,0,,,
177,"備品購入積立金","びひんこうにゅうつみたてきん",0,58,1,\5000000,\0,"貸+",0,,\0,93,"11504","115","04",\0,,1,0,,,
187,"その他の固定資産取得支出","そのたのこていしさんしゅとくししゅつ",0,26,3,\0,\0,"借+",0,,\0,145,"14103","141","03",\0,,1,0,,,
188,"人件費積立預金取崩収入","じんけんひつみたてよきんとりくずししゅうにゅう",0,19,2,\0,\0,"借+",0,,\0,32,"04402","044","02",\0,,1,0,,,
189,"修繕積立預金取崩収入","しゅうぜんつみたてよきんとりくずししゅうにゅう",0,19,3,\0,\0,"借+",0,,\0,33,"04403","044","03",\0,,1,0,,,
190,"備品購入積立預金取崩収入","びひんこうにゅうつみたてよきんとりくずししゅうにゅう",0,19,5,\0,\0,"借+",0,,\0,34,"04405","044","05",\0,,1,0,,,
191,"長期運営資金元金償還寄附金収入","ちょうきうんえいしきんがんきんしょうかんきふきんしゅうにゅう",0,20,2,\0,\0,"借+",1,,\0,37,"04502","045","02",\0,,1,0,,,
192,"修繕費積立預金積立支出","しゅうぜんひつみたてよきんつみたてししゅつ",0,30,2,\0,\0,"借+",0,,\0,153,"15302","153","02",\0,,1,0,,,
193,"備品購入積立預金積立支出","びひんこうにゅうつみたてよきんつみたてししゅつ",0,30,3,\0,\0,"借+",0,,\0,154,"15303","153","03",\0,,1,0,,,
194,"設備整備積立預金積立支出","せつびせいびつみたてよきんつみたてししゅつ",0,30,4,\0,\0,"借+",0,,\0,155,"15304","153","04",\6520000,,1,0,,,
195,"その他の支出","そのたのししゅつ",0,31,2,\0,\0,"借+",1,,\0,157,"15402","154","02",\0,,1,0,,,
196,"器具及び備品取得支出","きぐおよびびひんしゅとくししゅつ",0,26,4,\0,\0,"借+",0,,\300000,146,"14104","141","04",-\50000,\0,1,0,,,
197,"保育所繰越積立預金","ほいくしょくりこしつみたてよきん",0,53,16,\0,\0,"借+",1,,\0,73,"10320","103","20",\0,\0,1,0,,,
198,"保育所・設備整備積立金","ほいくしょ・せつびせいびつみたてきん",0,58,2,\38352847,\0,"貸+",0,,\0,94,"11505","115","05",\0,\0,1,0,,,
199,"保育所・設備整備積立預金","ほいくしょ・せつびせいびつみたてよきん",0,53,17,\38352847,\0,"借+",0,,\0,72,"10319","103","19",\0,\0,1,0,,,
200,"修繕積立金積立額","しゅうぜんつみたてきんつみたてがく",0,50,2,\0,\0,"借+",0,,\0,196,"27403","274","03",\0,\0,1,0,,,
201,"備品購入積立金積立額","びひんこうにゅうつみたてきんつみたてがく",0,50,3,\0,\0,"借+",0,,\0,197,"27404","274","04",\0,\0,1,0,,,
202,"設備整備積立金積立額","せつびせいびつみたてきんつみたてがく",0,50,4,\0,\0,"借+",0,,\0,198,"27405","274","05",\0,\0,1,0,,,
203,"設備整備積立預金取崩収入","せつびせいびつみたてよきんとりくずししゅうにゅう",0,19,6,\0,\0,"借+",0,,\0,35,"04406","044","06",\0,\0,1,0,,,
204,"退職共済預け金","たいしょくきょうさいあずけきん",0,53,18,\2347440,\0,"借+",0,,\0,74,"10321","103","21",\0,\0,1,0,,,
