"ID","明細ID","会計単位","経理区分","取引区分","起票日","借方科目ID","借方補助ID","借方補助整理","借方金額","貸方科目ID","貸方補助ID","貸方補助整理","貸方金額","摘要ID","コメント","元号","年","月","日","伝票確認","借方科目コード","貸方科目コード","決算終了","登録日","伝票番号","伝票連番","更新日","補助科目登録","印刷チェック"
5311,5,1,1,1,2009/04/01 0:00:00,58,0,0,\29999,113,0,0,\0,0,"玩具","H",21,4,1,0,"13306","10101",1,2009/06/03 0:00:00,"H2104-0005",5,,,0
5312,6,1,1,1,2009/04/01 0:00:00,53,0,0,\11000,113,0,0,\0,0,"饅頭","H",21,4,1,0,"13301","10101",1,2009/06/03 0:00:00,"H2104-0006",6,,,0
5313,7,1,1,1,2009/04/01 0:00:00,44,0,0,\1720,113,0,0,\0,0,"切手","H",21,4,1,0,"13210","10101",1,2009/06/03 0:00:00,"H2104-0007",7,,,0
5314,15,1,1,1,2009/04/08 0:00:00,142,0,0,\23100,113,0,0,\0,0,"ﾐﾙｸ","H",21,4,8,0,"11102","10101",1,2009/06/03 0:00:00,"H2104-0015",15,,,0
5315,16,1,1,1,2009/04/08 0:00:00,142,0,0,\13000,113,0,0,\0,0,"ｺﾞﾐ代","H",21,4,8,0,"11102","10101",1,2009/06/03 0:00:00,"H2104-0016",16,,,0
5316,17,1,1,1,2009/04/08 0:00:00,54,0,0,\5396,113,0,0,\0,0,"おしりふき","H",21,4,8,0,"13302","10101",1,2009/06/03 0:00:00,"H2104-0017",17,,,0
5317,18,1,1,1,2009/04/08 0:00:00,54,0,0,\6473,113,0,0,\0,0,"熱さまｼｰﾄ","H",21,4,8,0,"13302","10101",1,2009/06/03 0:00:00,"H2104-0018",18,,,0
5318,22,1,1,1,2009/04/09 0:00:00,48,0,0,\630,113,0,0,\0,0,"振込手数料","H",21,4,9,0,"13214","10101",1,2009/06/03 0:00:00,"H2104-0022",22,,,0
5319,23,1,1,1,2009/04/09 0:00:00,48,0,0,\420,113,0,0,\0,0,"振込手数料","H",21,4,9,0,"13214","10101",1,2009/06/03 0:00:00,"H2104-0023",23,,,0
5320,24,1,1,1,2009/04/10 0:00:00,44,0,0,\120,113,0,0,\0,0,"切手","H",21,4,10,0,"13210","10101",1,2009/06/03 0:00:00,"H2104-0024",24,2010/05/14 0:00:00,,0
5321,25,1,1,1,2009/04/10 0:00:00,142,0,0,\26880,113,0,0,\0,0,"ｴｺﾛｼﾞｰ","H",21,4,10,0,"11102","10101",1,2009/06/03 0:00:00,"H2104-0025",25,,,0
5322,26,1,1,1,2009/04/10 0:00:00,53,0,0,\18000,113,0,0,\0,0,"ﾐﾙｸ","H",21,4,10,0,"13301","10101",1,2009/06/03 0:00:00,"H2104-0026",26,,,0
5323,27,1,1,1,2009/04/10 0:00:00,142,0,0,\11922,113,0,0,\0,0,"灯油代","H",21,4,10,0,"11102","10101",1,2009/06/03 0:00:00,"H2104-0027",27,,,0
5324,31,1,1,1,2009/04/14 0:00:00,48,0,0,\735,113,0,0,\0,0,"振込手数料","H",21,4,14,0,"13214","10101",1,2009/06/03 0:00:00,"H2104-0031",31,,,0
5325,36,1,1,1,2009/04/21 0:00:00,142,0,0,\22600,113,0,0,\0,0,"3月分　肉代","H",21,4,21,0,"11102","10101",1,2009/06/03 0:00:00,"H2104-0036",36,,,0
5326,37,1,1,1,2009/04/21 0:00:00,142,0,0,\12600,113,0,0,\0,0,"3月分　ｲﾝﾀｰﾈｯﾄ","H",21,4,21,0,"11102","10101",1,2009/06/03 0:00:00,"H2104-0037",37,,,0
5327,38,1,1,1,2009/04/22 0:00:00,47,0,0,\5500,113,0,0,\0,0,"水質検査費","H",21,4,22,0,"13213","10101",1,2009/06/03 0:00:00,"H2104-0038",38,,,0
5328,39,1,1,1,2009/04/22 0:00:00,53,0,0,\540,113,0,0,\0,0,"ﾐﾙｸ","H",21,4,22,0,"13301","10101",1,2009/06/03 0:00:00,"H2104-0039",39,,,0
5329,40,1,1,1,2009/04/22 0:00:00,53,0,0,\1980,113,0,0,\0,0,"ﾐﾙｸ","H",21,4,22,0,"13301","10101",1,2009/06/03 0:00:00,"H2104-0040",40,,,0
5330,51,1,1,1,2009/04/25 0:00:00,54,0,0,\3530,113,0,0,\0,0,"薬","H",21,4,25,0,"13302","10101",1,2009/06/03 0:00:00,"H2104-0051",51,,,0
5331,60,1,1,1,2009/04/30 0:00:00,36,0,0,\4000,113,0,0,\0,0,"旅費交通費","H",21,4,30,0,"13202","10101",1,2009/06/03 0:00:00,"H2104-0060",60,,,0
5332,61,1,1,1,2009/04/30 0:00:00,142,0,0,\8600,113,0,0,\0,0,"ｶﾞｽ料金","H",21,4,30,0,"11102","10101",1,2009/06/03 0:00:00,"H2104-0061",61,,,0
5333,19,1,1,1,2009/04/08 0:00:00,53,0,0,\7259,113,0,0,\0,0,"ﾐﾙｸ","H",21,4,8,0,"13301","10101",1,2009/06/05 0:00:00,"H2104-0019",19,2009/06/05 0:00:00,,0
5334,44,1,1,1,2009/04/24 0:00:00,29,0,0,\2086500,171,0,0,\0,0,"4月分　職員本俸","H",21,4,24,0,"13102","10113",1,2009/06/05 0:00:00,"H2104-0044",44,2009/06/05 0:00:00,,0
5335,45,1,1,1,2009/04/24 0:00:00,30,0,0,\237441,171,0,0,\0,0,"4月分　職員諸手当","H",21,4,24,0,"13103","10113",1,2009/06/05 0:00:00,"H2104-0045",45,2009/06/05 0:00:00,,0
5336,46,1,1,1,2009/04/24 0:00:00,31,0,0,\196610,171,0,0,\0,0,"4月分　非常勤賃金","H",21,4,24,0,"13104","10113",1,2009/06/05 0:00:00,"H2104-0046",46,2009/06/05 0:00:00,,0
5337,47,1,1,1,2009/04/24 0:00:00,171,0,0,\214655,34,0,0,\0,0,"4月分　社保預り","H",21,4,24,0,"10113","13107",1,2009/06/05 0:00:00,"H2104-0047",47,2009/06/05 0:00:00,,0
5338,48,1,1,1,2009/04/24 0:00:00,171,0,0,\6996,34,0,0,\0,0,"4月分　雇用預り","H",21,4,24,0,"10113","13107",1,2009/06/05 0:00:00,"H2104-0048",48,2009/06/05 0:00:00,,0
5339,49,1,1,1,2009/04/24 0:00:00,171,0,0,\39210,143,0,0,\0,0,"4月分　所得税預り","H",21,4,24,0,"10113","11103",1,2009/06/05 0:00:00,"H2104-0049",49,2009/06/05 0:00:00,,0
5340,50,1,1,1,2009/04/24 0:00:00,171,0,0,\146300,143,0,0,\0,0,"4月分　住民税預り","H",21,4,24,0,"10113","11103",1,2009/06/05 0:00:00,"H2104-0050",50,2009/07/21 0:00:00,,0
5342,69,1,1,1,2009/05/07 0:00:00,50,0,0,\15960,114,0,0,\0,0,"ｼｬｰﾌﾟ","H",21,5,7,0,"13216","10102",1,2009/07/21 0:00:00,"H2105-0007",7,2009/07/21 0:00:00,,0
5343,70,1,1,1,2009/05/07 0:00:00,50,0,0,\39900,114,0,0,\0,0,"ｼｬｰﾌﾟ　ｺﾝﾋﾟｭｰﾀｰﾘｰｽ料","H",21,5,7,0,"13216","10102",1,2009/07/21 0:00:00,"H2105-0008",8,2009/07/21 0:00:00,,0
5344,71,1,1,1,2009/05/07 0:00:00,44,0,0,\5787,114,0,0,\0,0,"ｿﾌﾄﾊﾞﾝｸ　ﾈｯﾄ使用料","H",21,5,7,0,"13210","10102",1,2009/07/21 0:00:00,"H2105-0009",9,2009/07/21 0:00:00,,0
5345,72,1,1,1,2009/05/07 0:00:00,114,0,0,\4016000,116,0,0,\0,0,"加古川市　運営交付金","H",21,5,7,0,"10102","10106",1,2009/07/21 0:00:00,"H2105-0010",10,2009/07/21 0:00:00,,0
5346,73,1,1,1,2009/05/07 0:00:00,53,0,0,\125599,114,0,0,\0,0,"給食代","H",21,5,7,0,"13301","10102",1,2009/07/21 0:00:00,"H2105-0011",11,2009/07/21 0:00:00,,0
5347,74,1,1,1,2009/05/07 0:00:00,142,0,0,\164299,114,0,0,\0,0,"ｺﾝﾋﾟｭｰﾀｰ","H",21,5,7,0,"11102","10102",1,2009/07/21 0:00:00,"H2105-0012",12,2009/07/21 0:00:00,,0
5349,75,1,1,1,2009/05/07 0:00:00,142,0,0,\182259,114,0,0,\0,0,"さんこう　ｲﾝﾀｰﾎﾝ","H",21,5,7,0,"11102","10102",1,2009/07/21 0:00:00,"H2105-0013",13,2009/07/21 0:00:00,,0
5350,77,1,1,1,2009/05/11 0:00:00,33,0,0,\447000,114,0,0,\0,0,"福祉医療機構","H",21,5,11,0,"13106","10102",1,2009/07/21 0:00:00,"H2105-0015",15,2009/07/21 0:00:00,,0
5351,78,1,1,1,2009/05/11 0:00:00,113,0,0,\100000,114,0,0,\0,0,"小口現金引出し","H",21,5,11,0,"10101","10102",1,2009/07/21 0:00:00,"H2105-0016",16,2009/07/21 0:00:00,,0
5352,82,1,1,1,2009/05/12 0:00:00,143,0,0,\185510,114,0,0,\0,0,"税金等支払い","H",21,5,12,0,"11103","10102",1,2009/07/21 0:00:00,"H2105-0020",20,2009/07/21 0:00:00,,0
5353,86,1,1,1,2009/05/14 0:00:00,196,0,0,\100200,114,0,0,\0,0,"ﾃﾚﾋﾞ","H",21,5,14,0,"14104","10102",1,2009/07/21 0:00:00,"H2105-0024",24,2009/07/21 0:00:00,,0
5354,87,1,1,2,2009/05/14 0:00:00,130,0,0,\100200,196,0,0,\0,0,"ﾃﾚﾋﾞ　振替","H",21,5,14,0,"10305","14104",1,2009/07/21 0:00:00,"H2105-0025",25,2009/07/21 0:00:00,,0
5355,88,1,1,1,2009/05/14 0:00:00,58,0,0,\138090,114,0,0,\0,0,"ﾌﾚｰﾍﾞﾙ","H",21,5,14,0,"13306","10102",1,2009/07/21 0:00:00,"H2105-0026",26,2009/07/21 0:00:00,,0
5356,89,1,1,1,2009/05/18 0:00:00,114,0,0,\2559190,6,0,0,\0,0,"5月分　加古川市運営費","H",21,5,18,0,"10102","01301",1,2009/07/21 0:00:00,"H2105-0027",27,2009/07/21 0:00:00,,0
5357,92,1,1,1,2009/05/20 0:00:00,114,0,0,\58480,6,0,0,\0,0,"5月分　稲美町運営費","H",21,5,20,0,"10102","01301",1,2009/07/21 0:00:00,"H2105-0030",30,2009/07/21 0:00:00,,0
5358,94,1,1,1,2009/05/22 0:00:00,114,0,0,\184280,6,0,0,\0,0,"5月分　高砂市運営費","H",21,5,22,0,"10102","01301",1,2009/07/21 0:00:00,"H2105-0032",32,2009/07/21 0:00:00,,0
5359,95,1,1,1,2009/05/25 0:00:00,53,0,0,\3000,114,0,0,\0,0,"購買代金","H",21,5,25,0,"13301","10102",1,2009/07/21 0:00:00,"H2105-0033",33,2009/07/21 0:00:00,,0
5360,96,1,1,1,2009/05/25 0:00:00,171,0,0,\2149657,114,0,0,\0,0,"5月分　職員給与","H",21,5,25,0,"10113","10102",1,2009/07/21 0:00:00,"H2105-0034",34,2009/07/21 0:00:00,,0
5361,97,1,1,1,2009/05/25 0:00:00,47,0,0,\94000,114,0,0,\0,0,"庭の樹木伐採","H",21,5,25,0,"13213","10102",1,2009/07/21 0:00:00,"H2105-0035",35,2009/07/22 0:00:00,,0
5362,107,1,1,1,2009/05/27 0:00:00,50,0,0,\3045,114,0,0,\0,0,"ｿﾆｰﾌｧｲﾅﾝｽ","H",21,5,27,0,"13216","10102",1,2009/07/21 0:00:00,"H2105-0045",45,2009/07/21 0:00:00,,0
5363,111,1,1,1,2009/05/29 0:00:00,43,0,0,\100000,114,0,0,\0,0,"雨とい修理","H",21,5,29,0,"13209","10102",1,2009/07/21 0:00:00,"H2105-0049",49,2010/03/29 0:00:00,,0
5364,112,1,1,1,2009/05/29 0:00:00,166,0,0,\45000,114,0,0,\0,0,"社会福祉協議会会費","H",21,5,29,0,"13219","10102",1,2009/07/21 0:00:00,"H2105-0050",50,2009/07/22 0:00:00,,0
5365,63,1,1,1,2009/05/01 0:00:00,54,0,0,\10815,113,0,0,\0,0,"おしりふき","H",21,5,1,0,"13302","10101",1,2009/07/21 0:00:00,"H2105-0001",1,2009/07/21 0:00:00,,0
5366,64,1,1,1,2009/05/01 0:00:00,54,0,0,\4421,113,0,0,\0,0,"石鹸","H",21,5,1,0,"13302","10101",1,2009/07/21 0:00:00,"H2105-0002",2,2009/07/21 0:00:00,,0
5367,65,1,1,1,2009/05/02 0:00:00,54,0,0,\6446,113,0,0,\0,0,"消毒液","H",21,5,2,0,"13302","10101",1,2009/07/21 0:00:00,"H2105-0003",3,2009/07/21 0:00:00,,0
5368,66,1,1,1,2009/05/04 0:00:00,54,0,0,\1050,113,0,0,\0,0,"歯磨き","H",21,5,4,0,"13302","10101",1,2009/07/21 0:00:00,"H2105-0004",4,2009/07/21 0:00:00,,0
5369,67,1,1,1,2009/05/04 0:00:00,54,0,0,\6300,113,0,0,\0,0,"ﾄｲﾚｯﾄﾍﾟｰﾊﾟｰ","H",21,5,4,0,"13302","10101",1,2009/07/21 0:00:00,"H2105-0005",5,2009/07/21 0:00:00,,0
5370,68,1,1,1,2009/05/04 0:00:00,53,0,0,\1980,113,0,0,\0,0,"ﾐﾙｸ","H",21,5,4,0,"13301","10101",1,2009/07/21 0:00:00,"H2105-0006",6,2009/07/21 0:00:00,,0
5371,76,1,1,1,2009/05/09 0:00:00,47,0,0,\14000,113,0,0,\0,0,"ｺﾞﾐ代","H",21,5,9,0,"13213","10101",1,2009/07/21 0:00:00,"H2105-0014",14,2009/07/21 0:00:00,,0
5372,79,1,1,1,2009/05/11 0:00:00,48,0,0,\735,113,0,0,\0,0,"振込手数料","H",21,5,11,0,"13214","10101",1,2009/07/21 0:00:00,"H2105-0017",17,2009/07/21 0:00:00,,0
5373,80,1,1,1,2009/05/11 0:00:00,51,0,0,\4000,113,0,0,\0,0,"軽ﾄﾗ　自動車税","H",21,5,11,0,"13217","10101",1,2009/07/21 0:00:00,"H2105-0018",18,2009/07/21 0:00:00,,0
5374,83,1,1,1,2009/05/13 0:00:00,40,0,0,\3753,113,0,0,\0,0,"紙ﾊﾟｯｸ","H",21,5,13,0,"13206","10101",1,2009/07/21 0:00:00,"H2105-0021",21,2009/07/21 0:00:00,,0
5375,84,1,1,1,2009/05/13 0:00:00,69,0,0,\5945,113,0,0,\0,0,"日本ｽﾎﾟｰﾂ振興","H",21,5,13,0,"13325","10101",1,2009/07/21 0:00:00,"H2105-0022",22,2009/07/21 0:00:00,,0
5376,85,1,1,1,2009/05/13 0:00:00,48,0,0,\420,113,0,0,\0,0,"振込手数料","H",21,5,13,0,"13214","10101",1,2009/07/21 0:00:00,"H2105-0023",23,2009/07/21 0:00:00,,0
5377,90,1,1,1,2009/05/18 0:00:00,44,0,0,\8750,113,0,0,\0,0,"ｲﾝﾌﾙｴﾝｻﾞ　手紙","H",21,5,18,0,"13210","10101",1,2009/07/21 0:00:00,"H2105-0028",28,2009/07/21 0:00:00,,0
5378,93,1,1,1,2009/05/21 0:00:00,63,0,0,\13210,113,0,0,\0,0,"ﾎﾟｯﾄ","H",21,5,21,0,"13311","10101",1,2009/07/21 0:00:00,"H2105-0031",31,2009/07/21 0:00:00,,0
5379,98,1,1,1,2009/05/25 0:00:00,53,0,0,\21860,113,0,0,\0,0,"肉代","H",21,5,25,0,"13301","10101",1,2009/07/21 0:00:00,"H2105-0036",36,2009/07/21 0:00:00,,0
5380,99,1,1,1,2009/05/25 0:00:00,166,0,0,\3600,113,0,0,\0,0,"社保会費","H",21,5,25,0,"13219","10101",1,2009/07/21 0:00:00,"H2105-0037",37,2009/07/21 0:00:00,,0
5381,108,1,1,1,2009/05/28 0:00:00,47,0,0,\12600,113,0,0,\0,0,"共立ｻｰﾋﾞｽ","H",21,5,28,0,"13213","10101",1,2009/07/21 0:00:00,"H2105-0046",46,2009/07/21 0:00:00,,0
5382,109,1,1,1,2009/05/28 0:00:00,53,0,0,\2380,113,0,0,\0,0,"ﾐﾙｸ","H",21,5,28,0,"13301","10101",1,2009/07/21 0:00:00,"H2105-0047",47,2009/07/21 0:00:00,,0
5383,110,1,1,1,2009/05/28 0:00:00,48,0,0,\630,113,0,0,\0,0,"振込手数料","H",21,5,28,0,"13214","10101",1,2009/07/21 0:00:00,"H2105-0048",48,2009/07/21 0:00:00,,0
5384,113,1,1,1,2009/05/29 0:00:00,58,0,0,\8900,113,0,0,\0,0,"花","H",21,5,29,0,"13306","10101",1,2009/07/21 0:00:00,"H2105-0051",51,2010/05/14 0:00:00,,0
5385,114,1,1,1,2009/06/01 0:00:00,44,0,0,\2528,114,0,0,\0,0,"電話料金","H",21,6,1,0,"13210","10102",1,2009/07/21 0:00:00,"H2106-0001",1,2009/07/21 0:00:00,,0
5386,115,1,1,1,2009/06/01 0:00:00,44,0,0,\72442,114,0,0,\0,0,"電話料金","H",21,6,1,0,"13210","10102",1,2009/07/21 0:00:00,"H2106-0002",2,2009/07/21 0:00:00,,0
5387,116,1,1,1,2009/06/01 0:00:00,60,0,0,\40293,114,0,0,\0,0,"電気料金","H",21,6,1,0,"13308","10102",1,2009/07/21 0:00:00,"H2106-0003",3,2009/07/21 0:00:00,,0
5388,117,1,1,1,2009/06/01 0:00:00,60,0,0,\2100,114,0,0,\0,0,"ｶﾞｽ料金","H",21,6,1,0,"13308","10102",1,2009/07/21 0:00:00,"H2106-0004",4,2009/07/21 0:00:00,,0
5389,118,1,1,1,2009/06/01 0:00:00,34,0,0,\431522,114,0,0,\0,0,"4月分　社保支払い","H",21,6,1,0,"13107","10102",1,2009/07/21 0:00:00,"H2106-0005",5,2009/07/21 0:00:00,,0
5390,120,1,1,1,2009/06/03 0:00:00,50,0,0,\15960,114,0,0,\0,0,"ｼｬｰﾌﾟ","H",21,6,3,0,"13216","10102",1,2009/07/21 0:00:00,"H2106-0007",7,2009/07/21 0:00:00,,0
5391,121,1,1,1,2009/06/03 0:00:00,50,0,0,\39900,114,0,0,\0,0,"ｼｬｰﾌﾟ　ｺﾝﾋﾟｭｰﾀｰﾘｰｽ料","H",21,6,3,0,"13216","10102",1,2009/07/21 0:00:00,"H2106-0008",8,2009/07/21 0:00:00,,0
5392,124,1,1,1,2009/06/04 0:00:00,171,0,0,\2715818,114,0,0,\0,0,"6月分　賞与","H",21,6,4,0,"10113","10102",1,2009/07/21 0:00:00,"H2106-0011",11,2009/07/21 0:00:00,,0
5393,134,1,1,1,2009/06/10 0:00:00,114,0,0,\6000000,202,0,0,\0,0,"積立預金取崩し","H",21,6,10,0,"10102","04404",1,2009/07/21 0:00:00,"H2106-0021",21,2010/01/20 0:00:00,,0
5394,130,1,1,1,2009/06/08 0:00:00,44,0,0,\5787,114,0,0,\0,0,"ｿﾌﾄﾊﾞﾝｸ　ﾈｯﾄ使用料","H",21,6,8,0,"13210","10102",1,2009/07/21 0:00:00,"H2106-0017",17,2009/07/21 0:00:00,,0
5395,132,1,1,1,2009/06/09 0:00:00,113,0,0,\100000,114,0,0,\0,0,"小口現金引出し","H",21,6,9,0,"10101","10102",1,2009/07/21 0:00:00,"H2106-0019",19,2009/07/21 0:00:00,,0
5396,135,1,1,1,2009/06/10 0:00:00,53,0,0,\80251,114,0,0,\0,0,"給食代","H",21,6,10,0,"13301","10102",1,2009/07/21 0:00:00,"H2106-0022",22,2009/07/21 0:00:00,,0
5397,136,1,1,1,2009/06/10 0:00:00,143,0,0,\184810,114,0,0,\0,0,"税金等支払い","H",21,6,10,0,"11103","10102",1,2009/07/21 0:00:00,"H2106-0023",23,2009/09/09 0:00:00,,0
5398,143,1,1,1,2009/06/15 0:00:00,60,0,0,\20658,114,0,0,\0,0,"水道料金","H",21,6,15,0,"13308","10102",1,2009/07/21 0:00:00,"H2106-0030",30,2009/07/21 0:00:00,,0
5399,144,1,1,1,2009/06/16 0:00:00,114,0,0,\2559190,6,0,0,\0,0,"6月分　加古川市運営費","H",21,6,16,0,"10102","01301",1,2009/07/21 0:00:00,"H2106-0031",31,2009/07/21 0:00:00,,0
5400,147,1,1,1,2009/06/19 0:00:00,114,0,0,\58480,6,0,0,\0,0,"6月分　稲美町運営費","H",21,6,19,0,"10102","01301",1,2009/07/21 0:00:00,"H2106-0034",34,2009/07/21 0:00:00,,0
5401,153,1,1,1,2009/06/22 0:00:00,47,0,0,\95000,114,0,0,\0,0,"清掃代","H",21,6,22,0,"13213","10102",1,2009/07/21 0:00:00,"H2106-0040",40,2009/07/21 0:00:00,,0
5402,154,1,1,1,2009/06/22 0:00:00,49,0,0,\19646,114,0,0,\0,0,"団体火災","H",21,6,22,0,"13215","10102",1,2009/07/21 0:00:00,"H2106-0041",41,2009/07/21 0:00:00,,0
5403,155,1,1,1,2009/06/23 0:00:00,50,0,0,\19267,114,0,0,\0,0,"SMBC ｷｬﾉﾝ","H",21,6,23,0,"13216","10102",1,2009/07/21 0:00:00,"H2106-0042",42,2009/07/21 0:00:00,,0
5404,156,1,1,1,2009/06/25 0:00:00,53,0,0,\3000,114,0,0,\0,0,"購買代金","H",21,6,25,0,"13301","10102",1,2009/07/21 0:00:00,"H2106-0043",43,2009/07/21 0:00:00,,0
