"ID","明細ID","会計単位","経理区分","取引区分","起票日","借方科目ID","借方補助ID","借方補助整理","借方金額","貸方科目ID","貸方補助ID","貸方補助整理","貸方金額","摘要ID","コメント","元号","年","月","日","伝票確認","借方科目コード","貸方科目コード","決算終了","登録日","伝票番号","伝票連番","更新日","補助科目登録","印刷チェック"
36419,1858,1,3,1,2011/12/19 0:00:00,58,0,0,\420,113,0,0,\0,0,"文具ｻﾜﾀﾆ　ｶﾗｰﾍﾟﾝ","H",23,12,19,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0164",164,2012/01/13 0:00:00,,0
36420,1849,1,3,1,2011/12/19 0:00:00,143,0,0,\56869,163,0,0,\0,0,"12月分　退職共済預り分","H",23,12,19,0,"11103","10112",1,2012/01/13 0:00:00,"H2312-0155",155,2012/01/13 0:00:00,,0
36421,1860,1,3,1,2011/12/19 0:00:00,62,0,0,\254,113,0,0,\0,0,"MV　お茶袋","H",23,12,19,0,"13310","10101",1,2012/01/13 0:00:00,"H2312-0166",166,2012/01/13 0:00:00,,0
36422,1855,1,3,1,2011/12/19 0:00:00,48,0,0,\120,113,0,0,\0,0,"振込手数料","H",23,12,19,0,"13214","10101",1,2012/01/13 0:00:00,"H2312-0161",161,2012/01/13 0:00:00,,0
36423,1859,1,3,1,2011/12/19 0:00:00,53,0,0,\434,113,0,0,\0,0,"MV　ﾎｯﾄｹｰｷﾐｯｸｽ","H",23,12,19,0,"13301","10101",1,2012/01/13 0:00:00,"H2312-0165",165,2012/01/13 0:00:00,,0
36424,1851,1,3,2,2011/12/19 0:00:00,204,0,0,\56869,205,0,0,\0,0,"12月分　退職共済振替","H",23,12,19,0,"10321","15403",1,2012/01/13 0:00:00,"H2312-0157",157,2012/01/13 0:00:00,,0
36425,1856,1,3,1,2011/12/19 0:00:00,48,0,0,\330,113,0,0,\0,0,"振込手数料","H",23,12,19,0,"13214","10101",1,2012/01/13 0:00:00,"H2312-0162",162,2012/01/13 0:00:00,,0
36426,1846,1,3,1,2011/12/19 0:00:00,64,,0,\18000,114,0,0,\0,0,"とどろき荘　ｸﾘｽﾏｽ会場費","H",23,12,19,0,"13312","10102",1,2012/01/13 0:00:00,"H2312-0152",152,2012/01/13 0:00:00,,0
36427,1854,1,3,1,2011/12/19 0:00:00,69,0,0,\6984,113,0,0,\0,0,"近商物産　さろんﾌﾞｰﾂ","H",23,12,19,0,"13325","10101",1,2012/01/13 0:00:00,"H2312-0160",160,2012/01/13 0:00:00,,0
36428,1853,1,3,1,2011/12/19 0:00:00,52,0,0,\3007,113,0,0,\0,0,"松本新聞舗","H",23,12,19,0,"13225","10101",1,2012/01/13 0:00:00,"H2312-0159",159,2012/01/13 0:00:00,,0
36429,1850,1,3,1,2011/12/19 0:00:00,205,0,0,\56869,163,0,0,\0,0,"12月分　退職共済法人分","H",23,12,19,0,"15403","10112",1,2012/01/13 0:00:00,"H2312-0156",156,2012/01/13 0:00:00,,0
36430,1835,1,3,1,2011/12/17 0:00:00,58,,0,\4200,113,0,0,\0,0,"MV　ｸﾘｽﾏｽ会諸経費","H",23,12,17,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0141",141,2012/01/13 0:00:00,,0
36431,1834,1,3,1,2011/12/17 0:00:00,38,0,0,\436,113,0,0,\0,0,"ﾎｰﾑｽﾄｯｸ　ﾋﾞﾆｰﾙ袋","H",23,12,17,0,"13204","10101",1,2012/01/13 0:00:00,"H2312-0140",140,2012/01/13 0:00:00,,0
36432,1815,1,3,1,2011/12/16 0:00:00,58,0,0,\84000,163,0,0,\0,0,"戸田園芸　花代","H",23,12,16,0,"13306","10112",1,2012/01/13 0:00:00,"H2312-0121",121,2012/01/13 0:00:00,,0
36433,1814,1,3,1,2011/12/16 0:00:00,143,0,0,\75900,163,0,0,\0,0,"12月分　住民税支払い","H",23,12,16,0,"11103","10112",1,2012/01/13 0:00:00,"H2312-0120",120,2012/01/13 0:00:00,,0
36434,1813,1,3,1,2011/12/16 0:00:00,143,0,0,\21624,163,0,0,\0,0,"12月分　所得税支払い","H",23,12,16,0,"11103","10112",1,2012/01/13 0:00:00,"H2312-0119",119,2012/01/13 0:00:00,,0
36435,1808,1,3,1,2011/12/16 0:00:00,114,0,0,\3495350,6,0,0,\0,0,"12月分　加東市運営費","H",23,12,16,0,"10102","01301",1,2012/01/13 0:00:00,"H2312-0114",114,2012/01/13 0:00:00,,0
36436,1832,1,3,1,2011/12/16 0:00:00,171,0,0,\544933,143,0,0,\0,0,"冬期分　社保預り","H",23,12,16,0,"10113","11103",1,2012/01/13 0:00:00,"H2312-0138",138,2012/01/13 0:00:00,,0
36437,1822,1,3,1,2011/12/16 0:00:00,31,0,0,\318625,171,0,0,\0,0,"12月分　非常勤賃金(若草)","H",23,12,16,0,"13104","10113",1,2012/01/13 0:00:00,"H2312-0128",128,2012/01/13 0:00:00,,0
36438,1824,1,3,1,2011/12/16 0:00:00,171,0,0,\293674,143,0,0,\0,0,"12月分　社保預り","H",23,12,16,0,"10113","11103",1,2012/01/13 0:00:00,"H2312-0130",130,2012/01/13 0:00:00,,0
36439,1830,1,3,1,2011/12/16 0:00:00,30,0,0,\679400,171,0,0,\0,0,"冬期分　賞与(若草)","H",23,12,16,0,"13103","10113",1,2012/01/13 0:00:00,"H2312-0136",136,2012/01/13 0:00:00,,0
36440,1823,1,3,1,2011/12/16 0:00:00,171,0,0,\15315,34,0,0,\0,0,"12月分　雇用預り","H",23,12,16,0,"10113","13107",1,2012/01/13 0:00:00,"H2312-0129",129,2012/01/13 0:00:00,,0
36441,1812,1,3,1,2011/12/16 0:00:00,114,0,0,\2000,7,0,0,\0,0,"12月分　一時保育料","H",23,12,16,0,"10102","01401",1,2012/01/13 0:00:00,"H2312-0118",118,2012/01/13 0:00:00,,0
36442,1826,1,3,1,2011/12/16 0:00:00,171,0,0,\56869,143,0,0,\0,0,"12月分　退職共済預り","H",23,12,16,0,"10113","11103",1,2012/01/13 0:00:00,"H2312-0132",132,2012/01/13 0:00:00,,0
36443,1827,1,3,1,2011/12/16 0:00:00,171,0,0,\75750,10,0,0,\0,0,"12月分　職員給食費","H",23,12,16,0,"10113","01701",1,2012/01/13 0:00:00,"H2312-0133",133,2012/01/13 0:00:00,,0
36444,1828,1,3,1,2011/12/16 0:00:00,143,0,0,\131608,171,0,0,\0,0,"12月分　所得税返金","H",23,12,16,0,"11103","10113",1,2012/01/13 0:00:00,"H2312-0134",134,2012/01/13 0:00:00,,0
36445,1821,1,3,1,2011/12/16 0:00:00,30,0,0,\28636,171,0,0,\0,0,"12月分　職員諸手当(若草)","H",23,12,16,0,"13103","10113",1,2012/01/13 0:00:00,"H2312-0127",127,2012/01/13 0:00:00,,0
36446,1816,1,3,1,2011/12/16 0:00:00,48,0,0,\630,113,0,0,\0,0,"小切手帳代","H",23,12,16,0,"13214","10101",1,2012/01/13 0:00:00,"H2312-0122",122,2012/01/13 0:00:00,,0
36447,1831,1,3,1,2011/12/16 0:00:00,171,0,0,\26409,34,0,0,\0,0,"冬期分　雇用預り","H",23,12,16,0,"10113","13107",1,2012/01/13 0:00:00,"H2312-0137",137,2012/01/13 0:00:00,,0
36448,1825,1,3,1,2011/12/16 0:00:00,171,0,0,\75900,143,0,0,\0,0,"12月分　住民税預り","H",23,12,16,0,"10113","11103",1,2012/01/13 0:00:00,"H2312-0131",131,2012/01/13 0:00:00,,0
36449,1817,1,3,1,2011/12/16 0:00:00,29,0,0,\1621500,171,0,0,\0,0,"12月分　職員俸給","H",23,12,16,0,"13102","10113",1,2012/01/13 0:00:00,"H2312-0123",123,2012/01/13 0:00:00,,0
36450,1818,1,3,1,2011/12/16 0:00:00,30,0,0,\105490,171,0,0,\0,0,"12月分　職員諸手当","H",23,12,16,0,"13103","10113",1,2012/01/13 0:00:00,"H2312-0124",124,2012/01/13 0:00:00,,0
36451,1819,1,3,1,2011/12/16 0:00:00,31,0,0,\246240,171,0,0,\0,0,"12月分　非常勤賃金","H",23,12,16,0,"13104","10113",1,2012/01/13 0:00:00,"H2312-0125",125,2012/01/13 0:00:00,,0
36452,1833,1,3,1,2011/12/16 0:00:00,171,0,0,\153232,143,0,0,\0,0,"冬期分　所得税預り","H",23,12,16,0,"10113","11103",1,2012/01/13 0:00:00,"H2312-0139",139,2012/01/13 0:00:00,,0
36453,1810,1,3,1,2011/12/16 0:00:00,171,0,0,\3677726,114,0,0,\0,0,"冬期分　賞与","H",23,12,16,0,"10113","10102",1,2012/01/13 0:00:00,"H2312-0116",116,2012/01/13 0:00:00,,0
36454,1809,1,3,1,2011/12/16 0:00:00,171,0,0,\2274291,114,0,0,\0,0,"12月分　職員給与","H",23,12,16,0,"10113","10102",1,2012/01/13 0:00:00,"H2312-0115",115,2012/01/13 0:00:00,,0
36455,1820,1,3,1,2011/12/16 0:00:00,29,0,0,\339700,171,0,0,\0,0,"12月分　職員俸給(若草)","H",23,12,16,0,"13102","10113",1,2012/01/13 0:00:00,"H2312-0126",126,2012/01/13 0:00:00,,0
36456,1811,1,3,1,2011/12/16 0:00:00,163,0,0,\1000000,114,0,0,\0,0,"当座預金補充","H",23,12,16,0,"10112","10102",1,2012/01/13 0:00:00,"H2312-0117",117,2012/01/13 0:00:00,,0
36457,1829,1,3,1,2011/12/16 0:00:00,30,0,0,\3722900,171,0,0,\0,0,"冬期分　賞与","H",23,12,16,0,"13103","10113",1,2012/01/13 0:00:00,"H2312-0135",135,2012/01/13 0:00:00,,0
36458,1788,1,3,1,2011/12/15 0:00:00,53,0,0,\6134,113,0,0,\0,0,"MV　鶏肉ﾁｭｰﾘｯﾌﾟ","H",23,12,15,0,"13301","10101",1,2012/01/13 0:00:00,"H2312-0094",94,2012/01/13 0:00:00,,0
36459,1786,1,3,1,2011/12/15 0:00:00,60,0,0,\2476,114,0,0,\0,0,"11月分　ｶﾞｽ料金(若草)","H",23,12,15,0,"13308","10102",1,2012/01/13 0:00:00,"H2312-0092",92,2012/01/13 0:00:00,,0
36460,1787,1,0,1,2011/12/15 0:00:00,114,0,0,\31000,9,0,0,\0,0,"岩屋部落より","H",23,12,15,0,"10102","01601",1,2012/01/13 0:00:00,"H2312-0093",93,2012/01/13 0:00:00,,0
36461,1781,1,3,1,2011/12/14 0:00:00,58,0,0,\6666,113,0,0,\0,0,"ﾀﾞｲｷ　ｲﾙﾐﾈｰｼｮﾝ","H",23,12,14,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0087",87,2012/01/13 0:00:00,,0
36462,1775,1,3,1,2011/12/14 0:00:00,113,0,0,\60000,114,0,0,\0,0,"小口現金引出し","H",23,12,14,0,"10101","10102",1,2012/01/13 0:00:00,"H2312-0081",81,2012/01/13 0:00:00,,0
36463,1774,1,3,1,2011/12/14 0:00:00,43,0,0,\2152,114,0,0,\0,0,"内田総合設備　水栓修理","H",23,12,14,0,"13209","10102",1,2012/01/13 0:00:00,"H2312-0080",80,2012/01/13 0:00:00,,0
36464,1773,1,3,1,2011/12/14 0:00:00,163,0,0,\1000000,114,0,0,\0,0,"当座預金補充","H",23,12,14,0,"10112","10102",1,2012/01/13 0:00:00,"H2312-0079",79,2012/01/13 0:00:00,,0
36465,1779,1,3,1,2011/12/14 0:00:00,58,0,0,\20638,163,0,0,\0,0,"白鷺保育社　絵具他","H",23,12,14,0,"13306","10112",1,2012/01/13 0:00:00,"H2312-0085",85,2012/01/13 0:00:00,,0
36466,1778,1,3,1,2011/12/14 0:00:00,54,0,0,\9960,163,0,0,\0,0,"白鷺保育社　ﾍﾟｰﾊﾟｰﾀｵﾙ他","H",23,12,14,0,"13302","10112",1,2012/01/13 0:00:00,"H2312-0084",84,2012/01/13 0:00:00,,0
36467,1772,1,3,1,2011/12/14 0:00:00,114,0,0,\5600,7,0,0,\0,0,"12月分　一時保育料","H",23,12,14,0,"10102","01401",1,2012/01/13 0:00:00,"H2312-0078",78,2012/01/13 0:00:00,,0
36468,1776,1,3,1,2011/12/14 0:00:00,47,0,0,\47520,114,0,0,\0,0,"11月分　ｼﾙﾊﾞｰ人材","H",23,12,14,0,"13213","10102",1,2012/01/13 0:00:00,"H2312-0082",82,2012/01/13 0:00:00,,0
36469,1777,1,3,1,2011/12/14 0:00:00,43,0,0,\35385,114,0,0,\0,0,"田尻ｱﾙﾐ　ｶﾞﾗｽ取替","H",23,12,14,0,"13209","10102",1,2012/01/13 0:00:00,"H2312-0083",83,2012/01/13 0:00:00,,0
36470,1780,1,3,1,2011/12/14 0:00:00,37,0,0,\1760,113,0,0,\0,0,"白鷺保育社　書籍","H",23,12,14,0,"13203","10101",1,2012/01/13 0:00:00,"H2312-0086",86,2012/01/13 0:00:00,,0
36471,1760,1,3,1,2011/12/13 0:00:00,58,0,0,\10416,163,,0,\0,0,"ﾀﾞｲｷ　ｲﾙﾐﾈｰｼｮﾝ","H",23,12,13,0,"13306","10112",1,2012/01/13 0:00:00,"H2312-0066",66,2012/01/13 0:00:00,,0
36472,1762,1,3,1,2011/12/13 0:00:00,58,0,0,\3150,113,0,0,\0,0,"日本総合園芸　花(若草)","H",23,12,13,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0068",68,2012/01/13 0:00:00,,0
36473,1763,1,3,1,2011/12/13 0:00:00,64,0,0,\6740,113,0,0,\0,0,"播州交通　ﾀｸｼｰ","H",23,12,13,0,"13312","10101",1,2012/01/13 0:00:00,"H2312-0069",69,2012/01/13 0:00:00,,0
36474,1764,1,3,1,2011/12/13 0:00:00,58,0,0,\1940,113,0,0,\0,0,"ﾎｰﾑｽﾄｯｸ　ｹｯｿｸﾊﾞﾝﾄﾞ","H",23,12,13,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0070",70,2012/01/13 0:00:00,,0
36475,1765,1,3,1,2011/12/13 0:00:00,58,0,0,\3856,113,0,0,\0,0,"ﾀﾞｲｷ　ｲﾙﾐﾈｰｼｮﾝ","H",23,12,13,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0071",71,2012/01/13 0:00:00,,0
36476,1766,1,3,1,2011/12/13 0:00:00,58,0,0,\9970,113,0,0,\0,0,"ﾀﾞｲｷ　ｲﾙﾐﾈｰｼｮﾝ","H",23,12,13,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0072",72,2012/01/13 0:00:00,,0
36477,1767,1,3,1,2011/12/13 0:00:00,58,0,0,\780,113,0,0,\0,0,"ﾗｲﾌｫｰﾄ　ｱﾙﾐﾎｲﾙ","H",23,12,13,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0073",73,2012/01/13 0:00:00,,0
36478,1761,1,3,1,2011/12/13 0:00:00,58,0,0,\3150,113,0,0,\0,0,"日本総合園芸　花","H",23,12,13,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0067",67,2012/01/13 0:00:00,,0
36479,1756,1,3,1,2011/12/12 0:00:00,64,0,0,\2220,113,0,0,\0,0,"播州交通　ﾀｸｼｰ(若草)","H",23,12,12,0,"13312","10101",1,2012/01/13 0:00:00,"H2312-0062",62,2012/01/13 0:00:00,,0
36480,1755,1,3,1,2011/12/12 0:00:00,58,0,0,\5000,113,0,0,\0,0,"12月分　音楽講師料","H",23,12,12,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0061",61,2012/01/13 0:00:00,,0
36481,1747,1,3,1,2011/12/09 0:00:00,58,0,0,\6026,113,0,0,\0,0,"緑ヶ丘保　ｸﾘｽﾏｽ会諸経費","H",23,12,9,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0053",53,2012/01/13 0:00:00,,0
36482,1748,1,3,1,2011/12/09 0:00:00,69,0,0,\720,113,0,0,\0,0,"郵便局　さろん切手","H",23,12,9,0,"13325","10101",1,2012/01/13 0:00:00,"H2312-0054",54,2012/01/13 0:00:00,,0
36483,1746,1,3,1,2011/12/09 0:00:00,58,0,0,\880,113,0,0,\0,0,"ｼﾞｬﾊﾟﾝ　CD","H",23,12,9,0,"13306","10101",1,2012/01/13 0:00:00,"H2312-0052",52,2012/01/13 0:00:00,,0
36484,1749,1,3,1,2011/12/09 0:00:00,44,0,0,\720,113,0,0,\0,0,"郵便局　切手","H",23,12,9,0,"13210","10101",1,2012/01/13 0:00:00,"H2312-0055",55,2012/01/13 0:00:00,,0
36485,1742,1,3,1,2011/12/08 0:00:00,58,0,0,\21000,163,0,0,\0,0,"12月分　体育講師料","H",23,12,8,0,"13306","10112",1,2012/01/13 0:00:00,"H2312-0048",48,2012/01/13 0:00:00,,0
